in:climate,in:area,out:Current (TLL) MJ/m2 annum,out:RCP 2 5  (TLL) MJ/m2 annum,out:RCP 4 5 (TLL) MJ/m2 annum,out:RCP 8 5 (TLL) MJ/m2 annum,img
18,250,26.49,75.02,74.36,79.38,climate18_area250.png
19,250,71.13,55.69,55.68,60.16,climate19_area250.png
0,275,69.17,73.15,72.52,77.48,climate0_area275.png
1,275,46.72,54.24,54.26,58.74,climate1_area275.png
2,275,40.92,58.65,64.22,77.75,climate2_area275.png
3,275,26.65,36.19,34.3,41.79,climate3_area275.png
4,275,107.97,86.69,84.2,78.63,climate4_area275.png
5,275,48.06,49.97,47.18,44.71,climate5_area275.png
6,275,26.95,26.38,28.34,40.75,climate6_area275.png
7,275,56.28,48.89,48.93,46.54,climate7_area275.png
8,275,91.09,86.04,80.76,80.54,climate8_area275.png
9,275,111.55,97.63,92.1,90.39,climate9_area275.png
10,275,262.55,235.1,221.64,207.86,climate10_area275.png
11,275,79.73,72.5,75.6,76.31,climate11_area275.png
12,275,58.49,55.57,53.46,53.3,climate12_area275.png
13,275,76.12,76.67,80.1,86.37,climate13_area275.png
14,275,76.69,72.05,71.45,72.47,climate14_area275.png
15,275,25.51,29.07,30.43,31.38,climate15_area275.png
16,275,130.88,115.5,113.51,106.54,climate16_area275.png
17,275,222.89,186.08,181.53,175.02,climate17_area275.png
18,275,25.51,73.15,72.52,77.48,climate18_area275.png
19,275,69.17,54.24,54.26,58.74,climate19_area275.png
0,300,67.51,71.52,70.92,75.82,climate0_area300.png
1,300,45.49,52.98,53,57.45,climate1_area300.png
2,300,39.94,57.46,62.96,76.32,climate2_area300.png
3,300,25.79,35.27,33.41,40.8,climate3_area300.png
4,300,105.01,84.3,81.9,76.53,climate4_area300.png
5,300,46.75,48.73,45.99,43.66,climate5_area300.png
6,300,26.08,25.63,27.57,39.83,climate6_area300.png
7,300,54.73,47.59,47.64,45.32,climate7_area300.png
8,300,88.74,83.92,78.77,78.56,climate8_area300.png
9,300,108.59,95.06,89.66,88.03,climate9_area300.png
10,300,255.7,228.95,215.81,202.38,climate10_area300.png
11,300,77.75,70.74,73.81,74.52,climate11_area300.png
12,300,56.93,54.16,52.09,51.98,climate12_area300.png
13,300,74.34,74.99,78.38,84.58,climate13_area300.png
14,300,74.73,70.29,69.69,70.72,climate14_area300.png
15,300,24.68,28.32,29.65,30.58,climate15_area300.png
16,300,127.36,112.4,110.45,103.67,climate16_area300.png
17,300,217.02,181.15,176.7,170.36,climate17_area300.png
18,300,24.68,71.52,70.92,75.82,climate18_area300.png
19,300,67.51,52.98,53,57.45,climate19_area300.png
0,325,66.16,70.13,69.54,74.38,climate0_area325.png
1,325,44.5,51.89,51.92,56.32,climate1_area325.png
2,325,39.07,56.35,61.77,74.95,climate2_area325.png
3,325,25.1,34.47,32.63,39.93,climate3_area325.png
4,325,102.87,82.55,80.2,74.94,climate4_area325.png
5,325,45.71,47.69,45,42.73,climate5_area325.png
6,325,25.39,24.98,26.89,38.99,climate6_area325.png
7,325,53.54,46.55,46.6,44.33,climate7_area325.png
8,325,86.95,82.25,77.19,76.99,climate8_area325.png
9,325,106.41,93.14,87.84,86.24,climate9_area325.png
10,325,250.81,224.54,211.64,198.45,climate10_area325.png
11,325,76.19,69.33,72.35,73.06,climate11_area325.png
12,325,55.71,53.02,50.98,50.89,climate12_area325.png
13,325,72.87,73.56,76.89,83.01,climate13_area325.png
14,325,73.2,68.88,68.28,69.3,climate14_area325.png
15,325,24.02,27.64,28.96,29.87,climate15_area325.png
16,325,124.81,110.13,108.21,101.57,climate16_area325.png
17,325,212.83,177.61,173.25,167.02,climate17_area325.png
18,325,24.02,70.13,69.54,74.38,climate18_area325.png
19,325,66.16,51.89,51.92,56.32,climate19_area325.png
0,350,65.15,69.02,68.44,73.19,climate0_area350.png
1,350,43.76,51.01,51.03,55.35,climate1_area350.png
2,350,38.34,55.34,60.67,73.64,climate2_area350.png
3,350,24.62,33.81,32,39.18,climate3_area350.png
4,350,101.66,81.52,79.18,73.95,climate4_area350.png
5,350,44.98,46.89,44.23,41.95,climate5_area350.png
6,350,24.91,24.45,26.33,38.23,climate6_area350.png
7,350,52.75,45.8,45.85,43.59,climate7_area350.png
8,350,85.81,81.11,76.1,75.9,climate8_area350.png
9,350,105.13,91.97,86.72,85.13,climate9_area350.png
10,350,248.19,222.17,209.4,196.34,climate10_area350.png
11,350,75.11,68.29,71.27,71.96,climate11_area350.png
12,350,54.88,52.18,50.17,50.05,climate12_area350.png
13,350,71.78,72.4,75.68,81.69,climate13_area350.png
14,350,72.18,67.86,67.27,68.27,climate14_area350.png
15,350,23.54,27.05,28.35,29.25,climate15_area350.png
16,350,123.39,108.84,106.94,100.35,climate16_area350.png
17,350,210.58,175.7,171.38,165.21,climate17_area350.png
18,350,23.54,69.02,68.44,73.19,climate18_area350.png
19,350,65.15,51.01,51.03,55.35,climate19_area350.png
0,375,64.53,68.22,67.63,72.29,climate0_area375.png
1,375,43.31,50.36,50.37,54.56,climate1_area375.png
2,375,37.75,54.42,59.66,72.4,climate2_area375.png
3,375,24.35,33.3,31.51,38.56,climate3_area375.png
4,375,101.5,81.3,78.93,73.62,climate4_area375.png
5,375,44.62,46.36,43.72,41.33,climate5_area375.png
6,375,24.65,24.04,25.89,37.55,climate6_area375.png
7,375,52.43,45.38,45.42,43.13,climate7_area375.png
8,375,85.39,80.54,75.55,75.32,climate8_area375.png
9,375,104.85,91.63,86.39,84.75,climate9_area375.png
10,375,248.09,222.07,209.3,196.23,climate10_area375.png
11,375,74.58,67.69,70.61,71.26,climate11_area375.png
12,375,54.5,51.68,49.69,49.51,climate12_area375.png
13,375,71.09,71.54,74.77,80.66,climate13_area375.png
